Airport,Code,Location
O'Hare International Airport,ORD ,Chicago
Hartsfield Jackson Atlanta International Airport,ATL,Atlanta
Denver International Airport,DEN,Denver
Dalls Fort Wayne International Airport ,DFW,Dallas
Los Angeles International Airport,LAX,Los Angeles
Charlotte Douglas International Airport,CLT,Charlotte
McCarran International Airport,LAS,Las Vegas
Pheonix Sky Harbor International Airport,PHX,Phoenix
Orlando International Airport,MCO,Orlando
Seattle-Tacoma International Airport,SEA ,Seattle
Miami International Airport,MIA,Miami
George Bush Intercontinental Airport,IAH ,Houston
John F. Kennedy International Airport,JFK,New York City
Fort Lauderdale-Hollywood International Airport,FLL,For Lauderdale
San Fancisco International Airport,SFO,San Francisco
Newark Liberty International Airport,EWR,Newark
Minneapolis-Sait Paul International Airport,MSP,Minneapolis
Tampa International Airport,TPA,Tampa
Detroit Metropolitan Airport,DTW,Detroit
Philadelphia International Airport,PHL,Philadelphia
St. Lous Lambert International Airport,STL,St. Louis
Baltimore/Washington International Airport ,BWI,Baltimore
Daniel K Inouye International Airport,HNL,Honolulu
San Diego International Airport,SAN ,San Diego
Sat Lake City International Airport,SLC,Salt Lake City
